                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 2.0175,                  1.797,                 1.7922,                0.23952,                0.12613,                0.18582,                0.04784,                 3.0971,                 4.2968,                 2.9533,               0.001945,               0.001945,               0.001945
                     58,                 1.8815,                 1.7531,                 1.7125,                0.23952,                0.12613,                0.18582,                0.04784,                 3.0971,                 4.2968,                 2.9533,               0.001944,               0.001944,               0.001944
                     59,                 2.0469,                 1.8954,                 1.8949,                0.43493,                0.13514,                0.24276,                0.05529,                 2.9629,                 3.7591,                 2.7959,               0.001943,               0.001943,               0.001943
                     60,                 1.9116,                 1.7886,                 1.7181,                 0.4375,                0.12613,                0.27675,                 0.0758,                 3.0755,                  3.384,                 2.9016,               0.001942,               0.001942,               0.001942
                     61,                 1.9779,                 1.7853,                 1.8908,                0.30769,                0.10811,                0.17626,                0.05049,                 2.9508,                 4.9919,                 2.7372,               0.001941,               0.001941,               0.001941
                     62,                 2.0183,                 1.7551,                 1.7864,                0.30769,                0.10811,                0.17626,                0.05049,                 2.9508,                 4.9919,                 2.7372,                0.00194,                0.00194,                0.00194
                     63,                 1.8931,                 1.6832,                 1.7587,                0.14516,                0.08108,                0.07909,                0.02586,                 2.9761,                 5.8006,                 2.7963,               0.001939,               0.001939,               0.001939
                     64,                 1.9432,                 1.7775,                 1.7778,                0.23636,                0.11712,                 0.1346,                 0.0432,                 2.9501,                 4.3629,                 2.7248,               0.001938,               0.001938,               0.001938
                     65,                 2.0198,                 1.6582,                 1.7972,                0.41379,                0.10811,                0.24885,                0.09742,                  2.905,                 2.9608,                 2.5812,               0.001937,               0.001937,               0.001937
                     66,                 1.9799,                 1.6739,                 1.7514,                0.41379,                0.10811,                0.24885,                0.09742,                  2.905,                 2.9608,                 2.5812,               0.001936,               0.001936,               0.001936
                     67,                 2.0213,                 1.8159,                 1.8079,                0.33333,                0.07207,                0.20268,                0.08679,                 2.9304,                 3.0749,                 2.5567,               0.001935,               0.001935,               0.001935
                     68,                 2.1038,                 1.9124,                 1.8909,                0.31251,                0.04505,                0.17831,                0.07716,                 2.9097,                 3.3179,                 2.4787,               0.001934,               0.001934,               0.001934
                     69,                 2.0307,                 1.9504,                 1.7992,                   0.28,                0.06306,                0.15823,                0.05628,                 2.8728,                 3.3926,                 2.5017,               0.001933,               0.001933,               0.001933
